土地總面積平方公尺,總樓層數,建物型態,建物總面積平方公尺,房,廳,衛,有無管理,車位,電梯,鄉鎮市區_七股區,鄉鎮市區_下營區,鄉鎮市區_中西區,鄉鎮市區_仁德區,鄉鎮市區_佳里區,鄉鎮市區_六甲區,鄉鎮市區_北區,鄉鎮市區_北門區,鄉鎮市區_南化區,鄉鎮市區_南區,鄉鎮市區_善化區,鄉鎮市區_大內區,鄉鎮市區_學甲區,鄉鎮市區_安南區,鄉鎮市區_安定區,鄉鎮市區_安平區,鄉鎮市區_官田區,鄉鎮市區_將軍區,鄉鎮市區_山上區,鄉鎮市區_左鎮區,鄉鎮市區_後壁區,鄉鎮市區_新化區,鄉鎮市區_新市區,鄉鎮市區_新營區,鄉鎮市區_東區,鄉鎮市區_東山區,鄉鎮市區_柳營區,鄉鎮市區_楠西區,鄉鎮市區_歸仁區,鄉鎮市區_永康區,鄉鎮市區_玉井區,鄉鎮市區_白河區,鄉鎮市區_西港區,鄉鎮市區_關廟區,鄉鎮市區_鹽水區,鄉鎮市區_麻豆區,鄉鎮市區_龍崎區,總價元(萬)
24.93,29.0,2.0,276.63,3.0,2.0,3.0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1565.0
74.09,3.0,1.0,164.29,5.0,2.0,4.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1040.0
18.29,22.0,2.0,208.06,3.0,2.0,2.0,1,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1560.0
64.84,4.0,1.0,235.07,4.0,3.0,4.0,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900.0
122.06,2.0,1.0,168.16,4.0,2.0,3.0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1650.0
11.27,24.0,2.0,149.22,3.0,2.0,2.0,1,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820.0
72.0,2.0,1.0,102.72,4.0,2.0,2.0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500.0
61.14,2.0,1.0,115.61,3.0,2.0,2.0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1025.0
19.38,14.0,2.0,151.81,2.0,2.0,2.0,1,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,850.0
11.52,12.0,2.0,121.54,4.0,2.0,2.0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460.0
32.6,6.0,3.0,156.54,4.0,2.0,2.0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590.0
14.35,14.0,2.0,116.79,3.0,2.0,2.0,1,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590.0
3.2,12.0,2.0,32.17,1.0,0.0,1.0,0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.0
127.86,4.0,1.0,341.47,6.0,3.0,3.0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900.0
8.45,10.0,3.0,77.2,3.0,1.0,1.0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370.0
22.77,15.0,2.0,143.09,2.0,2.0,2.0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1138.0
103.5,4.0,1.0,301.2,6.0,2.0,6.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2100.0
7.21,26.0,2.0,84.7,2.0,1.0,1.0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550.0
11.92,13.0,2.0,75.99,2.0,2.0,1.0,1,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.0
8.73,20.0,2.0,113.6,1.0,2.0,1.0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620.0
58.34,2.0,1.0,85.92,3.0,1.0,1.0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000.0
6.2,24.0,2.0,83.17,2.0,1.0,1.0,1,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550.0
35.53,5.0,4.0,138.87,3.0,2.0,2.0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350.0
7.34,23.0,2.0,83.07,2.0,1.0,1.0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480.0
13.63,5.0,4.0,54.35,1.0,1.0,2.0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238.0
41.5,24.0,2.0,475.4,3.0,2.0,4.0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3738.8
231.89,2.0,1.0,326.72,6.0,2.0,2.0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1980.0
320.86,14.0,2.0,802.53,9.0,4.0,8.0,1,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2950.0
72.78,4.0,1.0,200.75,4.0,2.0,5.0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1535.0
37.0,5.0,1.0,158.69,4.0,1.0,5.0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650.0
72.0,2.0,1.0,72.31,3.0,3.0,3.0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130.0
55.02,2.0,1.0,74.34,2.0,1.0,2.0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480.0
32.6,6.0,3.0,156.54,5.0,2.0,2.0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,616.0
45.43,15.0,2.0,445.27,6.0,4.0,5.0,1,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080.0
74.6,14.0,2.0,438.47,3.0,2.0,3.0,1,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3046.0
31.7,26.0,2.0,347.24,3.0,2.0,3.0,1,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2180.0
31.99,26.0,2.0,350.46,3.0,2.0,3.0,1,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2708.0
31.7,26.0,2.0,347.24,3.0,2.0,3.0,1,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250.0
97.68,4.0,1.0,267.59,6.0,1.0,3.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1843.75
12.03,26.0,2.0,156.74,3.0,2.0,2.0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,810.0
28.56,12.0,2.0,131.24,3.0,2.0,2.0,1,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450.0
103.51,3.0,1.0,217.87,4.0,1.0,3.0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365.0
93.81,3.0,1.0,201.95,5.0,2.0,3.0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,888.0
8.99,20.0,2.0,120.72,2.0,1.0,1.0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610.0
0.0,2.0,1.0,58.42,4.0,1.0,3.0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330.0
27.67,26.0,2.0,296.42,3.0,2.0,3.0,1,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1766.0
12.79,14.0,2.0,124.79,3.0,2.0,2.0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,626.0
58.5,12.0,2.0,185.97,3.0,2.0,2.0,1,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1170.0
7.11,25.0,2.0,88.24,3.0,1.0,1.0,1,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446.0
25.85,7.0,3.0,156.98,3.0,2.0,2.0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,635.0
7.25,10.0,3.0,60.2,1.0,1.0,1.0,1,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240.0
