鄉鎮市區,土地總面積平方公尺,總樓層數,建物型態,建物總面積平方公尺,房,廳,衛,有無管理,總價元,單價每平方公尺,車位移轉總面積平方公尺,電梯
安平區,15.73,6,華夏,86.64,3,2,2,有,4980000,57478,,有
安平區,204.5,5,透天厝,551.08,5,3,6,無,38000000,68956,,無
安平區,21.16,29,住宅大樓,233.7,3,2,2,有,14350000,60595,24.11,有
北區,23.9,9,公寓,95.95,2,2,2,有,5750000,59927,,無
安平區,27.34,29,住宅大樓,303.07,3,2,3,有,17480000,55490,24.11,有
安平區,58.3,20,住宅大樓,416.18,4,2,4,有,30200000,72565,30.48,有
中西區,24.42,27,住宅大樓,263.77,3,2,3,有,16700000,64242,25.61,有
中西區,24.42,27,住宅大樓,263.77,3,2,3,有,18000000,70120,25.61,有
中西區,24.42,27,住宅大樓,263.77,3,2,3,有,18050000,69700,25.61,有
中西區,26.41,27,住宅大樓,333.35,3,2,3,有,28050000,95511,25.61,有
中西區,25.55,27,住宅大樓,299.65,3,2,3,有,23230000,81834,25.61,有
中西區,24.42,27,住宅大樓,263.79,3,2,3,有,20000000,78514,25.61,有
中西區,42.05,5,華夏,175.46,2,3,2,有,11410000,66580,15.35,有
中西區,24.48,27,住宅大樓,289.38,3,2,3,有,18000000,67181,25.61,有
中西區,24.18,5,華夏,100.59,2,2,2,有,6190000,63233,15.35,有
中西區,25.6,27,住宅大樓,300.26,3,2,3,有,22650000,80510,25.61,有
中西區,19.71,5,華夏,82.3,2,2,2,有,5280000,64155,,有
中西區,57.51,5,華夏,242.34,4,3,3,有,17380000,72381,15.35,有
中西區,24.48,27,住宅大樓,289.39,3,2,3,有,21200000,78934,25.61,有
中西區,24.42,27,住宅大樓,263.79,3,2,3,有,18000000,71376,25.61,有
安平區,10.31,8,華夏,57.39,1,1,1,有,1500000,26135,,有
中西區,24.48,27,住宅大樓,289.39,3,2,3,有,18450000,66968,25.61,有
中西區,24.48,27,住宅大樓,289.39,3,2,3,有,18450000,68438,25.61,有
中西區,25.6,27,住宅大樓,300.31,3,2,3,有,22000000,78286,25.61,有
中西區,25.55,27,住宅大樓,299.65,3,2,3,有,21880000,77607,25.61,有
北區,63.46,2,透天厝,74.49,6,0,6,無,5850000,78534,,無
安平區,7.31,27,住宅大樓,85.78,2,1,1,有,5050000,58873,,有
北區,219.77,5,透天厝,646.73,6,4,7,有,53000000,81951,,無
中西區,2.97,13,住宅大樓,34.35,1,0,1,有,1550000,45123,,有
安平區,23.52,29,住宅大樓,260.72,3,2,3,有,15100000,56844,24.11,有
安平區,24.93,29,住宅大樓,276.63,3,2,3,有,15550000,54846,24.11,有
安平區,45.17,8,華夏,294.12,5,2,3,有,12000000,40800,,有
北區,139.51,12,住宅大樓,552.65,0,2,2,有,45500000,82330,,有
中西區,,4,華夏,216.13,1,2,1,無,27000000,124924,,有
中西區,88.06,1,透天厝,43.93,3,2,2,無,4350000,99021,,無
中西區,31.63,7,公寓,159.36,3,2,3,有,5600000,35141,,無
中西區,14.53,,,,,,,無,2844974,195800,,
中西區,8.68,11,住宅大樓,43.13,1,0,1,有,3300000,76513,,有
北區,0.4,,,,,,,有,600000,45901,,
北區,5.75,,住宅大樓,,2,2,1,有,5000000,63669,,
中西區,5.45,5,公寓,24.28,1,0,1,無,800000,32943,,無
北區,91.13,,透天厝,,3,2,2,無,9000000,106157,,
中西區,88.3,2,透天厝,146.78,5,2,3,無,18000000,122633,,無
中西區,27.67,25,住宅大樓,287.02,3,2,3,有,21010000,79021,33.8,有
中西區,28.01,25,住宅大樓,316.45,3,2,3,有,17500000,62287,33.8,有
中西區,27.22,25,住宅大樓,282.65,3,2,3,有,16810000,63533,33.8,有
中西區,26.42,,住宅大樓,,3,2,3,有,16040000,62161,,
安平區,23.31,24,住宅大樓,287.88,3,2,2,有,21580000,76972,25.06,有
安平區,27.97,24,住宅大樓,337.11,,,,有,25800000,80089,25.06,有
北區,57.12,12,住宅大樓,261.44,7,7,7,有,8800000,33659,,有
安平區,28.28,24,住宅大樓,338.55,3,2,3,有,24280000,75513,25.06,有
安平區,18.39,22,住宅大樓,266.13,2,1,2,有,12000000,45090,,有
安平區,25.17,,住宅大樓,,4,2,3,有,19800000,63968,,
安平區,11.04,,住宅大樓,,4,2,2,有,6520000,36080,,
安平區,6.99,14,住宅大樓,102.24,2,1,1,有,5550000,54284,,有
北區,25.51,12,住宅大樓,333.14,8,0,8,有,11650000,34970,,有
安平區,14.03,14,住宅大樓,123.55,3,2,1,有,5800000,46946,,有
北區,,1,透天厝,37.37,4,1,1,無,2700000,72250,,無
安平區,261,,,,,,,無,24850000,95211,,
北區,180.1,,透天厝,,7,4,7,無,33300000,76575,,
安平區,9.64,20,住宅大樓,116.38,3,2,2,有,5400000,46398,,有
中西區,98.42,,,,,,,無,25589200,260000,,
北區,61.05,21,住宅大樓,358.26,3,2,3,有,24500000,68386,37.73,有
中西區,28.46,25,住宅大樓,320.83,3,2,3,有,19000000,59222,33.8,有
安平區,178,3,透天厝,342.41,6,2,4,無,18200000,53153,,無
北區,19.42,14,住宅大樓,118.79,3,2,2,有,7700000,64818,,有
安平區,31.25,7,華夏,157.57,4,2,2,有,5000000,31731,,有
北區,303,,,,,,,無,36600000,120792,,
安平區,9.32,29,住宅大樓,185.37,3,2,2,有,14250000,80858,23.36,有
安平區,8.63,29,住宅大樓,172.17,2,2,2,有,15520000,96568,23.36,有
北區,110.05,4,透天厝,234.79,4,2,6,無,13000000,55369,,無
安平區,8.63,29,住宅大樓,148.81,2,2,2,有,14180000,103868,23.36,有
安平區,24.26,23,住宅大樓,243.34,4,2,2,有,15980000,69265,26.49,有
安平區,28.12,23,住宅大樓,303.68,,,,有,20420000,74082,28.87,有
安平區,155.71,23,住宅大樓,593.84,,,,有,88460000,168762,34.58,有
安平區,82,4,透天厝,225.78,4,2,4,無,9000000,39862,,無
安平區,47.7,21,住宅大樓,322.27,3,2,3,有,25900000,89741,30.89,有
北區,87,4,透天厝,208.67,5,2,4,無,7300000,34983,,無
安平區,12.63,26,住宅大樓,164.84,3,2,2,有,8000000,50677,30.66,有
北區,89,3,透天厝,165.62,5,2,3,無,8700000,52530,,無
安平區,9.03,14,住宅大樓,92.14,2,2,1,有,4470000,48511,,有
北區,34.13,9,華夏,138.33,3,2,2,有,6960000,50315,,有
中西區,62.18,4,透天厝,172.07,4,3,3,無,15000000,87174,,無
北區,13.74,,住宅大樓,,2,2,1,有,6980000,65596,,
北區,31.23,10,華夏,140.41,3,2,2,有,6760000,48143,,有
中西區,27.47,13,住宅大樓,178.46,3,2,2,有,11280000,68003,30.23,有
中西區,,2,透天厝,102.69,3,0,3,無,9000000,87642,,無
安平區,13.33,14,住宅大樓,72.1,2,2,1,有,3700000,51321,,有
中西區,12.14,15,住宅大樓,120.06,2,2,1,有,8450000,70380,28.34,有
中西區,81.27,,,,,,,無,3144107,38685,,
安平區,3.44,9,華夏,27.28,1,0,1,有,1580000,57915,,有
北區,115.57,,,,,,,無,9788800,84700,,
安平區,8.52,23,住宅大樓,99.85,2,1,2,有,6760000,67699,28.37,有
北區,98.06,,,,,,,無,8304800,84691,,
中西區,8.85,12,住宅大樓,74.52,2,1,1,有,2600000,34888,,有
北區,11.83,24,住宅大樓,159.98,3,2,2,有,7560000,47255,32.55,有
安平區,18.82,14,住宅大樓,185.48,4,2,2,有,7780000,40105,,有
中西區,84.01,,,,,,,無,16520000,196643,,
北區,7.11,25,住宅大樓,78.37,3,2,1,有,4280000,54611,,有
中西區,9.68,,,,,,,無,750000,77495,,
北區,5.23,5,公寓,26.84,1,1,1,無,1100000,40989,,無
安平區,1166.62,,,,,,,無,70580000,60500,,
中西區,2.58,9,華夏,24.65,1,0,1,有,1000000,40563,,有
北區,8.94,5,華夏,29.52,1,0,1,有,1200000,40646,,有
安平區,9.5,14,住宅大樓,124.27,3,2,2,有,6650000,53513,,有
安平區,1.38,,,,,,,有,1080000,49248,,
北區,82.13,4,透天厝,194.6,4,3,3,無,13900000,71429,,無
中西區,21.16,7,華夏,143.37,3,2,2,有,5400000,37665,,有
中西區,11.13,7,華夏,54.68,2,1,1,有,2000000,36575,,有
北區,18.87,11,住宅大樓,86.23,2,1,2,有,6200000,71903,,有
北區,21.85,11,住宅大樓,111.65,2,1,2,有,7600000,69307,14.26,有
中西區,0.17,11,住宅大樓,28.41,1,0,1,有,1000000,35202,,有
北區,20.9,11,住宅大樓,106.98,2,1,2,有,7050000,66867,14.26,有
安平區,11.15,8,華夏,71.16,2,2,1,有,3100000,43564,,有
中西區,15.41,,,,,,,無,1960000,127158,,
中西區,4.43,10,華夏,43.03,1,1,1,有,1800000,41828,,有
北區,287,,,,,,,無,26000000,90592,,
中西區,3.75,,,,,,,有,1150000,40550,,
安平區,61.58,23,住宅大樓,449.75,4,2,3,有,28880000,69963,33.13,有
安平區,39.93,21,住宅大樓,253.6,3,2,3,有,17800000,74088,30.89,有
中西區,5.46,6,華夏,31.44,1,0,1,有,1800000,57260,,有
安平區,8.54,,住宅大樓,,1,1,1,有,6000000,73178,,
安平區,8.81,23,住宅大樓,103.32,1,1,1,有,7600000,84721,28.37,有
安平區,8.81,23,住宅大樓,103.32,1,1,1,有,7750000,86722,28.37,有
北區,81.94,3,透天厝,231.6,4,2,3,有,14980000,64681,,無
中西區,82,,透天厝,,4,2,3,無,10000000,47510,,
中西區,27.26,3,公寓,64.98,3,1,1,無,1660000,25546,,無
中西區,85.29,,,,,,,無,5000000,58624,,
中西區,102.64,5,透天厝,265.94,5,3,6,無,13850000,52079,,無
北區,71.04,2,透天厝,83.64,4,2,2,無,7600000,90866,,無
北區,6.64,19,住宅大樓,84.69,2,1,1,有,4380000,51720,,有
北區,27.89,5,公寓,78.7,1,1,1,無,1680000,21347,,無
中西區,4.17,9,華夏,26.81,1,0,1,有,1700000,63403,,有
中西區,12.43,10,華夏,127.16,2,1,2,有,7500000,58982,33.27,有
中西區,20.84,5,公寓,79.59,2,1,1,無,2950000,37063,,無
安平區,12.97,23,住宅大樓,151.29,3,2,2,有,10580000,69930,28.37,有
安平區,17.53,17,住宅大樓,187.84,4,2,2,有,8000000,42591,,有
北區,28.21,14,住宅大樓,149.3,3,2,2,有,7200000,48225,,有
安平區,33.91,24,住宅大樓,390.5,3,2,3,有,27380000,72641,21.93,有
北區,0.08,,,,,,,無,430000,9428,,
安平區,33.29,24,住宅大樓,383.74,3,2,3,有,25250000,67818,21.93,有
北區,38.29,5,華夏,175.45,4,2,2,無,6250000,35622,,有
中西區,57.05,2,透天厝,82.53,2,2,3,無,8050000,97540,,無
中西區,25.18,11,住宅大樓,244.42,3,2,2,有,16300000,66689,13.48,有
中西區,85.27,9,華夏,695.04,0,0,3,有,15750000,22661,,有
北區,13.33,14,住宅大樓,123.09,3,2,2,有,6800000,55244,13.17,有
北區,928.5,,,,,,,無,8500000,9155,,
北區,5.86,24,住宅大樓,83.19,2,1,1,有,4500000,54095,,有
安平區,133.95,5,透天厝,411.9,6,3,6,無,39800000,96625,,無
安平區,166.55,5,透天厝,504.23,6,3,6,無,54000000,107094,,無
安平區,550.94,,,,,,,無,13332800,24200,,
安平區,8.91,11,住宅大樓,98.31,3,2,2,有,4800000,48826,,有
北區,79,3,透天厝,154.42,5,1,3,無,7000000,45331,,無
北區,147.72,4,透天厝,543.73,6,4,5,無,35880000,65989,,無
安平區,57.48,20,住宅大樓,386.33,3,2,4,有,24500000,63417,30.5,有
中西區,66.84,1,透天厝,30.64,,,,無,3480000,113577,,無
中西區,66.56,1,透天厝,31.8,,,,無,5400000,169811,,無
北區,68.17,4,透天厝,180.82,4,2,4,無,14600000,80743,,無
北區,171.01,4,透天厝,343.6,7,2,6,無,13000000,37835,,無
安平區,15.59,12,住宅大樓,163.69,4,1,3,有,6080000,37144,,有
北區,15.18,24,住宅大樓,164.79,2,2,2,有,11300000,76861,33.38,有
中西區,137.72,2,透天厝,166.14,5,2,3,無,18000000,108342,,無
北區,80.26,2,透天厝,129.81,4,2,2,無,8200000,63169,,無
中西區,34.99,25,住宅大樓,386.42,4,2,4,有,26680000,77410,33.8,有
安平區,23.26,6,華夏,107,2,2,2,無,3500000,32709,,有
安平區,18.47,24,住宅大樓,140.23,3,2,2,有,5280000,37654,,有
北區,7.97,14,住宅大樓,73.28,2,2,1,有,4650000,63454,,有
北區,114,2,透天厝,72.98,3,2,3,無,7500000,102768,,無
中西區,47.04,2,透天厝,70.88,4,1,2,無,5650000,79712,,無
安平區,95.21,,,,,,,無,4032000,42350,,
中西區,17.1,15,住宅大樓,136.96,3,2,2,有,10600000,77394,13.31,有
安平區,16.73,8,華夏,108.28,3,2,2,有,5780000,53379,,有
北區,62,3,透天厝,118.7,4,2,2,無,6250000,52654,,無
安平區,11.96,16,住宅大樓,177.38,3,2,2,有,6650000,37491,,有
安平區,107.33,4,透天厝,217.28,3,1,6,無,12000000,55228,,無
北區,26.75,4,公寓,74.38,7,0,6,無,5000000,67227,,無
中西區,321.7,,,,,,,無,11323675,35200,,
北區,7,,,,,,,無,130130,18590,,
安平區,33.07,26,住宅大樓,451.84,3,2,4,有,28000000,61969,30.04,有
中西區,231.53,,,,,,,無,20000000,86382,,
北區,15.26,,,,,,,無,120000,7866,,
北區,24.25,24,住宅大樓,256.3,4,2,2,有,21680000,92237,35.35,有
中西區,2.58,13,住宅大樓,30.09,1,0,1,有,1820000,60481,,有
北區,66,2,透天厝,86.49,4,2,2,無,5000000,57810,,無
安平區,35.45,24,住宅大樓,408.23,3,2,3,有,22300000,54626,27.39,有
安平區,11.48,27,住宅大樓,154.55,3,2,2,有,8300000,57501,27.59,有
北區,5.94,,住宅大樓,,1,0,1,無,2275000,71316,,
北區,96,4,透天厝,210.38,6,1,7,無,14800000,70349,,無
中西區,15.85,10,華夏,149.42,3,2,2,有,8880000,59430,29.15,有
北區,5.94,,住宅大樓,,1,0,1,無,2275000,71316,,
北區,97.36,4,透天厝,261.46,4,3,5,無,15000000,57370,,無
北區,20.9,11,住宅大樓,106.98,2,1,2,有,7550000,71181,14.26,有
北區,20.95,11,住宅大樓,107.79,2,1,2,有,7110000,66076,14.26,有
北區,18.87,11,住宅大樓,86.23,2,1,2,有,5870000,68076,,有
北區,20.95,11,住宅大樓,107.79,2,1,2,有,6910000,64793,14.26,有
北區,111.11,5,透天厝,326.39,6,3,5,無,21300000,65259,,無
安平區,23.29,29,住宅大樓,258.4,3,2,3,有,15500000,59115,24.11,有
安平區,25.16,29,住宅大樓,278.95,3,2,3,有,16210000,59084,24.11,有
北區,11.15,24,住宅大樓,95.73,1,2,2,有,7280000,76051,,有
北區,7.96,19,住宅大樓,101.35,2,1,1,有,5300000,52543,16.66,有
中西區,2.97,20,住宅大樓,38.01,1,0,1,有,2300000,60517,,有
中西區,147.83,4,透天厝,313.22,5,10,4,無,45800000,146223,,無
北區,2.7,14,住宅大樓,30.73,1,0,1,有,1000000,32539,,有
北區,23.88,14,住宅大樓,120.82,3,2,2,有,7450000,61664,,有
北區,86.04,4,透天厝,182.59,4,2,3,無,12500000,68459,,無
中西區,34.04,6,華夏,165.7,3,2,2,有,5000000,30175,,有
北區,7.64,15,住宅大樓,70.73,2,2,2,有,3150000,44536,,有
安平區,22.08,23,住宅大樓,225.73,4,2,2,有,16880000,80668,28.87,有
中西區,30.32,,,,,,,無,1350000,44525,,
北區,8.45,24,住宅大樓,116.82,3,2,2,有,6500000,55639,,有
北區,6.42,24,住宅大樓,86.72,2,2,2,有,5350000,61691,,有
安平區,99.45,5,透天厝,267.8,6,2,7,無,15800000,58999,,無
中西區,99.81,,,,,,,無,13000000,130247,,
中西區,119.77,,,,,,,無,15890000,132671,,
北區,9.43,14,住宅大樓,83.49,1,1,1,有,4600000,55098,10.34,有
中西區,96,2,透天厝,138.04,4,3,3,無,9380000,67951,,無
中西區,3.06,12,住宅大樓,31.53,1,0,1,有,1630000,51697,,有
中西區,33.89,2,透天厝,52.74,2,2,1,無,3000000,56883,,無
北區,2.25,,,,,,,有,1350000,41475,,
中西區,99.25,3,透天厝,216.51,5,2,6,無,12800000,59120,,無
北區,5.86,24,住宅大樓,83.19,2,2,1,有,5470000,65756,,有
安平區,51.17,19,住宅大樓,360.64,3,2,3,有,34800000,110570,34.71,有
中西區,56.47,13,住宅大樓,380.42,4,2,3,有,18500000,48630,26.65,有
中西區,5.33,12,住宅大樓,51.16,1,1,1,有,2200000,43004,,有
安平區,38.18,24,住宅大樓,435.31,5,1,3,有,22380000,51412,27.39,有
安平區,100.3,5,透天厝,287.44,4,2,4,無,22000000,76538,,無
北區,56,1,透天厝,41.81,2,1,1,無,2710370,64826,,無
北區,6.31,24,住宅大樓,86.96,2,2,1,有,5020000,57726,,有
北區,11.15,24,住宅大樓,95.73,2,2,2,有,8300000,86706,,有
安平區,21.66,,華夏,,3,2,2,有,6600000,39670,,
中西區,103,4,透天厝,213.11,5,2,3,無,11000000,51617,,無
北區,68,,,,,,,無,1164092,17119,,
北區,221,4,透天厝,492.76,8,4,8,無,61360000,124523,,無
安平區,7.33,27,住宅大樓,141.62,3,2,2,有,5900000,41660,,有
安平區,107,5,透天厝,311.27,5,3,6,無,18800000,60398,,無
中西區,,7,透天厝,563.1,16,0,16,無,16000000,28414,,無
北區,11.16,14,住宅大樓,103.58,3,2,2,有,5450000,52617,,有
中西區,59.12,13,住宅大樓,359.26,2,2,3,有,37800000,105217,29.91,有
中西區,12.43,10,華夏,127.1,2,2,2,有,7200000,56649,33.28,有
安平區,114.67,4,透天厝,339.01,5,2,6,無,25000000,73744,,無
北區,1.57,12,住宅大樓,117.64,3,2,2,有,4080000,34681,6.51,有
安平區,120.05,5,透天厝,366.96,5,4,7,無,24500000,66765,,無
北區,41.51,,,,,,,無,1000000,24088,,
北區,15.21,18,住宅大樓,107.24,3,2,2,有,4450000,41497,,有
北區,29.63,13,住宅大樓,131.47,3,2,2,有,6600000,50202,,有
安平區,15.59,17,住宅大樓,173.29,3,2,2,有,6600000,38086,,有
安平區,8.9,29,住宅大樓,177.39,4,2,2,有,16110000,96474,23.36,有
安平區,9.35,29,住宅大樓,185.63,4,2,2,有,16800000,98359,31.6,有
北區,46.81,4,透天厝,137.68,3,2,5,無,9660000,70163,,無
安平區,20.04,6,華夏,82.61,2,2,2,有,3150000,38131,,有
中西區,6.54,7,華夏,35.44,1,1,1,無,1500000,42326,,有
安平區,136.5,5,透天厝,382.38,7,3,7,無,34000000,88917,,無
北區,20.36,11,住宅大樓,92.72,2,1,2,有,6800000,73338,,有
北區,80.23,3,透天厝,162.93,4,2,3,無,7000000,42963,,無
北區,11.15,24,住宅大樓,158.8,3,2,2,有,8150000,51323,32.55,有
北區,13.69,14,住宅大樓,116.52,3,2,2,有,5550000,44745,10.36,有
北區,32.27,10,華夏,148.05,3,2,2,有,7250000,48970,,有
北區,31.25,5,公寓,91.77,3,2,2,無,3850000,41955,,無
安平區,17.1,9,華夏,125.26,3,2,2,有,6000000,35926,,有
